operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|,"-34.6799393,-58.5061879",,,,,,,,,,,,http://la-matanza.properati.com.ar/y33l_venta_departamentos_la-matanza_suite_jardin_lavadero_patio_toilette_vestidor_garage_anzalone-propiedades_9ut
sell,house,|Argentina|Capital Federal|Villa General Mitre|,"-34.6128418,-58.4697934",470000,USD,7126328,470000,570,400,824.5614035,1175,,6,,http://villa-general-mitre.properati.com.ar/11fm4_venta_casa_villa-general-mitre_balcon_jardin_lavadero_parrilla_patio_piscina_terraza_toilette_dependencias_garage_placard_bertolotti
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,,93,,,,3,,http://ramos-mejia.properati.com.ar/u03h_venta_departamentos_ramos-mejia
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|QBay Yacht|,"-34.4465229,-58.6338743",225000,USD,3411540,225000,97,80,2319.587629,2812.5,,3,,http://qbay-yacht.properati.com.ar/110ml_venta_departamentos_qbay-yacht_gimnasio_jardin_parrilla_piscina_sum_terraza_luminoso_vista_victorino-de-la-plaza_d04
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|Malvinas Argentinas|,"-34.4714672812,-58.6982345581",,,,,1207,350,,,,4,,http://malvinas-argentinas.properati.com.ar/kmgm_alquiler_casa_malvinas-argentinas
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6038236,-58.4272911",138000,USD,2092411.2,138000,74,74,1864.864865,1864.864865,1,3,300,http://almagro.properati.com.ar/11w6t_venta_departamentos_almagro_lavadero_luminoso_aire-acondicionado_bertolotti
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,78600,USD,1191764.64,78600,,29,,2710.344828,,2,,http://haedo.properati.com.ar/z1op_venta_departamentos_haedo_estrenar_panisello-inmobiliaria
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5181057,-58.5190446",169000,USD,2562445.6,169000,80,125,2112.5,1352,,,,http://olivos.properati.com.ar/nsxt_venta_casa_olivos_aguero_3300
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6481312,-58.5530731",75000,USD,1137180,75000,,55,,1363.636364,,,,http://ramos-mejia.properati.com.ar/omsm_venta_casa_ramos-mejia
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Rafael Castillo|,"-34.68708801,-58.62220383",150000,USD,2274360,150000,,,,,,,,http://rafael-castillo.properati.com.ar/11t1w_venta_casa_rafael-castillo_suite_lavadero_piscina_quincho_garage_isabel-minim_5f8
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,"-34.6732249882,-58.559036586",47000,USD,712632.8,47000,46,28,1021.73913,1678.571429,,,,http://san-justo-la-matanza.properati.com.ar/v01y_venta_departamentos_san-justo
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,"-34.7507566,-58.3774958",140000,USD,2122736,140000,0,103,,1359.223301,,3,,http://banfield.properati.com.ar/11pju_venta_casa_banfield_jardin_patio_piscina_garage_placard_cabrera-propiedades_b4e
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.8900258293,-57.9504898075",150000,USD,2274360,150000,,,,,,,,http://la-plata-bs-as-g-b-a-zona-sur.properati.com.ar/yl3f_venta_casa_la-plata_patio_quincho_garage_larrosa-estudio-inmobiliario
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5902501054,-58.3874693338",400000,USD,6064960,400000,150,130,2666.666667,3076.923077,,4,5400,http://barrio-norte.properati.com.ar/10smf_venta_departamentos_barrio-norte_lavadero_patio_toilette_dependencias_izrastzoff-agentes-inmobiliarios
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.466883,-58.514985",637000,USD,9658448.8,637000,,117,,5444.444444,,4,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/uvq1_venta_departamentos_san-isidro
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.586103,-58.423963",114000,USD,1728513.6,114000,,32,,3562.5,,2,,http://palermo.properati.com.ar/11vtx_venta_departamentos_palermo_baulera_luminoso_placard_aire-acondicionado_re-max-premium
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,210000,USD,3184104,210000,144,76,1458.333333,2763.157895,,3,3800,http://nordelta.properati.com.ar/ys63_venta_departamentos_nordelta_suite_jardin_lavadero_terraza_toilette_placard_gabriela-iglesias
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5438273,-58.5830637",72000,USD,1091692.8,72000,,,,,,,,http://san-martin.properati.com.ar/v4qx_venta_casa_tres-de-febrero
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,131000,USD,1986274.4,131000,,52,,2519.230769,,2,,http://ramos-mejia.properati.com.ar/zrti_venta_departamentos_ramos-mejia_baulera_luminoso_estrenar_berto-inmuebles
sell,apartment,|Argentina|Capital Federal|Flores|,"-34.6265182557,-58.4724630529",82000,USD,1243316.8,82000,50,50,1640,1640,,2,,http://flores.properati.com.ar/12w4k_venta_departamentos_flores_balcon_lavadero_placard_subte-linea-a_hanin-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,"-34.6600198,-58.6199275",65000,USD,985556,65000,50,50,1300,1300,,2,,http://moron.properati.com.ar/12kyb_venta_departamentos_moron_balcon_terraza_garage_placard_saad-centurion-propiedades_di6
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Hurlingham|,"-34.5909471422,-58.6466531767",670000,ARS,668140.4,44065.61,,,,,,,,http://hurlingham-bs-as-g-b-a-zona-oeste.properati.com.ar/hlz2_venta_departamento_hurlingham
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.5991655,-58.5638921",75000,USD,1137180,75000,42,40,1785.714286,1875,7,2,,http://caseros.properati.com.ar/ws19_venta_departamentos_caseros_bonifacini_4800
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.4825743434,-58.5880050364",608599,USD,9227821.47,608599,220,123,2766.359091,4947.95935,,4,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/11krg_venta_departamentos_san-isidro_vizora
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Barrio Cerrado Fincas de Maschwitz|,"-34.377612,-58.8226419",90000,USD,1364616,90000,850,130,105.8823529,692.3076923,,4,,http://barrio-cerrado-fincas-de-maschwitz.properati.com.ar/x7in_venta_casa_barrio-cerrado-fincas-de-maschwitz
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.6037232,-58.3815931",170000,USD,2577608,170000,88,50,1931.818182,3400,2,2,,http://nordelta.properati.com.ar/o0nf_venta_departamentos_nordelta
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|,"-34.4349391,-58.5628792",125000,USD,1895300,125000,87,80,1436.781609,1562.5,,,,http://san-fernando-bs-as-g-b-a-zona-norte.properati.com.ar/11afa_venta_departamentos_san-fernando_avenida-presidente-teniente-general-juan-domingo-peron_200_balcon_hidromasaje_impecable_placard_resia-y-cia-leo
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5620844,-58.4566864",166000,USD,2516958.4,166000,58,52,2862.068966,3192.307692,,2,,http://belgrano.properati.com.ar/12tu6_venta_departamentos_belgrano_suite_parrilla_patio_piscina_toilette_amenities_placard_subte-linea-d_zuker-propiedades_dke
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6410974,-58.5527562",,,,,40,40,,,,,,http://ramos-mejia.properati.com.ar/efj3_venta_departamento_ramos-mejia
sell,apartment,|Argentina|Capital Federal|Liniers|,"-34.648143,-58.524277",136500,USD,2069667.6,136500,,71,,1922.535211,,3,,http://liniers.properati.com.ar/11xwz_venta_departamentos_liniers_balcon_terraza_vestidor_luminoso_re-max-urbana
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.920001,-57.981985",115000,USD,1743676,115000,,71,,1619.71831,,3,,http://la-plata.properati.com.ar/12dfb_venta_ph_la-plata_balcon_parrilla_terraza_garage_placard_re-max-diagonal-ii
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.663673,-58.562634",,,,,0,,,,,,,http://ituzaingo-bs-as-g-b-a-zona-oeste.properati.com.ar/12g6w_venta_ph_ituzaingo_lavadero_parrilla_patio_vanesa-romera-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|Los Polvorines|,,1250000,USD,18953000,1250000,3400,520,367.6470588,2403.846154,,,,http://los-polvorines.properati.com.ar/ng85_venta_casa_los-polvorines_0
sell,PH,|Argentina|Capital Federal|Villa Crespo|,"-34.6021538,-58.4335529",149000,USD,2259197.6,149000,75,70,1986.666667,2128.571429,,3,100,http://villa-crespo.properati.com.ar/ywgq_venta_ph_villa-crespo_patio_vestidor_impecable_aire-acondicionado_estrenar_bertolotti
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|Canning|,,956000,ARS,961644.59,63422.98,116,68,546.7498276,14058.82353,,3,2500,http://canning-ezeiza.properati.com.ar/11jhm_venta_departamentos_canning_gimnasio_jardin_parrilla_piscina_sum_garage_belprop-de-luca
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.742476,-58.280261",86000,USD,1303966.4,86000,,20,,4300,,3,,http://quilmes.properati.com.ar/12dga_venta_casa_quilmes_jardin_parrilla_patio_garage_re-max-sur
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.596715,-58.444045",75000,USD,1137180,75000,40,36,1875,2083.333333,,2,,http://villa-crespo.properati.com.ar/10auc_venta_departamentos_villa-crespo_luminoso_migliorisi-propiedades_cy0
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5444356268,-58.553443858",130000,USD,1971112,130000,76,72,1710.526316,1805.555556,,,,http://san-martin.properati.com.ar/ea05_venta_departamento_san-martin
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.6384209,-58.6885595",145000,USD,2198548,145000,350,120,414.2857143,1208.333333,,,,http://ituzaingo.properati.com.ar/nt1k_venta_casa_villa-ariza
sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.63897705,-58.50011444",80000,USD,1212992,80000,,,,,,,,http://villa-luro.properati.com.ar/zijc_venta_departamentos_villa-luro_garage_pueyrredon-brokers
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Adrogué|,"-34.8079096263,-58.4026027513",350000,USD,5306840,350000,0,270,,1296.296296,,4,,http://adrogue.properati.com.ar/11s0h_venta_casa_adrogue_suite_hidromasaje_jardin_lavadero_piscina_quincho_vestidor_vista_garage_placard_gazda-propiedades_cq0
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,"-34.5331327,-58.479013",138000,USD,2092411.2,138000,64,56,2156.25,2464.285714,7,,,http://vicente-lopez-bs-as-g-b-a-zona-norte.properati.com.ar/uax1_venta_departamentos_vicente-lopez_jose-marmol_1500
sell,store,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|El Talar|,"-34.470554,-58.6533395",90000,USD,1364616,90000,0,80,,1125,,,,http://el-talar.properati.com.ar/owgj_venta_local_el-talar
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.643601,-58.5609818",65000,USD,985556,65000,35,,1857.142857,,3,,400,http://ramos-mejia.properati.com.ar/ylrz_venta_departamentos_ramos-mejia_piscina_matias-szpira-bienes-raices-ituzaingo
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Benavidez|,"-34.3957896386,-58.7157411741",210000,USD,3184104,210000,2500,200,84,1050,,,,http://benavidez.properati.com.ar/wnwa_venta_casa_benavidez
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.599722,-58.430668",68000,USD,1031043.2,68000,,37,,1837.837838,,2,,http://villa-crespo.properati.com.ar/yzjo_venta_departamentos_villa-crespo_balcon_lavadero_parrilla_sum_luminoso_lujoso_garage_amenities_aire-acondicionado_estrenar_re-max-vanguard
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6173479,-58.4494037",69000,USD,1046205.6,69000,29,2,2379.310345,34500,4,1,,http://caballito.properati.com.ar/x553_venta_departamentos_caballito
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Villa Udaondo|,"-34.6263237,-58.65938187",85000,USD,1288804,85000,,,,,,,,http://villa-udaondo.properati.com.ar/11ae1_venta_ph_villa-udaondo_balcon_toilette_amoblado_estrenar_viillelcho-inmuebles
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|,"-34.4645841,-58.5155094",500000,USD,7581200,500000,471,335,1061.571125,1492.537313,,,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/xfad_venta_casa_san-isidro_avenida-del-libertador_16800
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,"-34.6652172,-58.5519019",55000,USD,833932,55000,,,,,,,,http://lomas-del-mirador.properati.com.ar/iz48_venta_departamento_lomas-del-mirador
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-34.4137408,-58.8468331",146870,USD,2226901.68,146870,81,81,1813.209877,1813.209877,,3,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/zsfg_venta_departamentos_pilar_balcon_baulera_suite_terraza_electrogeno_garage_aire-acondicionado_nucifora-propiedades_cro
